Zone,Population,Disponibilité intérieure Milliers de tonnes,Nourriture Milliers de tonnes,Importations - Quantité Milliers de tonnes,Exportations - Quantité Milliers de tonnes,Pertes Milliers de tonnes,Production Milliers de tonnes,Prix de Production (USD),Variation de stock Milliers de tonnes,Traitement Milliers de tonnes,CAH,KMeans
Pays-Bas,17021347.0,372.0,346.0,608.0,1418.0,5.2,1100.0,0.0,-82.0,104.0,3,3
Philippines,105172925.0,1521.0,1459.0,249.0,2.0,62.0,1272.0,0.0,-3.0,0.0,4,2
Pologne,37953180.0,1156.0,1150.0,55.0,1025.0,27.0,2351.0,0.0,225.0,38.0,4,2
Polynésie française,276102.0,15.0,13.0,15.0,0.0,0.4,1.0,0.0,0.0,0.0,1,0
Portugal,10288527.0,325.0,315.0,82.0,44.0,10.4,361.0,0.0,74.0,1.0,4,0
Pérou,31444298.0,1523.0,424.0,60.0,1.0,316.0,1465.0,0.0,13.668639053254438,0.0,4,2
Roumanie,19653969.0,381.0,381.0,146.0,69.0,17.4,392.0,1806.3,88.0,0.0,4,0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460.99999999,2234.0,2131.0,779.0,359.0,80.6,1814.0,0.0,0.0,102.0,3,3
Rwanda,11980961.0,19.0,18.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,1,0
République centrafricaine,4596023.0,11.0,11.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,1,0
République de Corée,51096415.0,854.0,854.0,137.0,6.0,37.8,838.0,0.0,115.0,0.0,4,2
République de Moldova,4059684.0,66.0,66.0,16.0,0.0,2.4,54.0,0.0,5.0,0.0,1,0
République dominicaine,10513104.0,375.0,371.0,42.0,6.0,13.8,339.0,0.0,0.0,0.0,1,0
République démocratique populaire lao,6953035.0,687.5941176470589,657.0470588235294,89.52941176470588,25.4,24.2,725.1904761904761,0.0,13.668639053254438,0.0,1,0
République populaire démocratique de Corée,25429825.0,43.0,41.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,1,0
République-Unie de Tanzanie,54660339.0,108.0,103.0,2.0,1.4,5.0,105.0,0.0,0.0,0.0,1,0
Saint-Kitts-et-Nevis,52045.0,4.0,3.0,4.0,0.0,0.4,0.0,0.0,0.0,0.0,1,0
Saint-Vincent-et-les Grenadines,109827.0,8.0,8.0,9.0,0.0,0.4,0.0,0.0,1.0,0.0,1,0
Sainte-Lucie,180954.0,11.0,10.0,10.0,0.0,0.4,1.0,4318.5,0.0,0.0,1,0
Samoa,195352.0,15.0,13.0,17.0,0.0,0.4,0.0,0.0,2.0,0.0,1,0
Sao Tomé-et-Principe,207089.0,2.0,2.0,2.0,0.0,0.6,1.0,0.0,1.0,0.0,1,0
Serbie,8829628.0,90.0,90.0,12.0,7.0,3.4,85.0,0.0,0.0,0.0,1,0
Sierra Leone,7488423.0,30.0,30.0,14.0,0.0,1.0,17.0,0.0,0.0,0.0,1,0
Slovaquie,5447900.0,74.0,76.0,63.0,35.0,2.6,71.0,0.0,26.0,5.0,1,0
Slovénie,2076393.9999999998,52.0,51.0,20.0,29.0,1.4,72.0,0.0,11.0,2.0,1,0
Soudan,40813397.0,69.0,65.0,2.0,0.2,3.0,67.0,0.0,0.0,0.0,1,0
Sri Lanka,21128032.0,192.0,164.0,0.0,2.0,10.0,192.0,2639.9,-1.0,18.0,1,0
Suisse,8455804.0,133.0,133.0,51.0,4.0,4.8,91.0,0.0,5.0,0.0,1,0
Suriname,570496.0,25.0,18.0,18.0,5.0,0.0,10.0,3135.8,-2.0,0.0,1,0
Suède,9904896.0,187.0,164.0,84.0,23.0,6.8,157.0,0.0,31.0,59.0,1,0
Sénégal,15419355.0,77.0,73.0,0.0,0.0,4.0,77.0,0.0,0.0,0.0,1,0
Tadjikistan,8880268.0,40.0,39.0,38.0,2.4,0.0,2.0,0.0,0.0,0.0,1,0
Tchad,15016753.0,7.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1,0
Tchéquie,10641034.0,249.0,234.0,116.0,27.0,6.0,163.0,0.0,3.0,15.0,1,0
Thaïlande,69209810.0,881.0,896.0,2.0,796.0,32.0,1676.0,0.0,1.0,0.0,3,2
Timor-Leste,1243258.0,5.0,5.0,11.0,0.0,0.6,1.0,0.0,7.0,0.0,1,0
Togo,7698474.0,54.0,54.0,16.0,0.0,2.0,40.0,2583.3,1.0,0.0,1,0
Trinité-et-Tobago,1384059.0,76.0,75.0,23.0,0.0,0.4,61.0,0.0,8.0,0.0,1,0
Tunisie,11433443.0,195.0,195.0,0.0,4.0,8.0,213.0,0.0,15.0,0.0,1,0
Turkménistan,5757667.0,27.0,26.0,9.0,0.6,1.0,20.0,0.0,2.0,0.0,1,0
Turquie,81116450.0,1674.0,1674.0,3.0,429.0,75.4,2192.0,0.0,92.0,0.0,4,2
Ukraine,44487709.0,1009.0,1006.0,121.0,273.0,52.6,1211.0,0.0,49.0,3.0,4,2
Uruguay,3436641.0,33.0,31.0,3.0,3.0,1.2,33.0,1318.2,0.0,2.0,1,0
Vanuatu,285510.0,3.0,3.0,4.0,0.0,0.6,1.0,0.0,1.0,0.0,1,0
Venezuela (République bolivarienne du),29402484.0,626.0,596.0,25.0,0.0,30.0,600.0,0.0,-1.0,0.0,1,0
Viet Nam,94600648.0,1206.0,1166.0,291.0,1.0,39.0,918.0,3852.8,2.0,0.0,4,2
Yémen,27834819.0,246.0,237.0,78.0,0.0,8.0,168.0,5091.4,0.0,0.0,1,0
Zambie,16853599.0,60.0,58.0,12.0,1.0,2.0,49.0,0.0,0.0,0.0,1,0
Zimbabwe,14236595.0,76.0,67.0,6.0,0.8,3.0,69.0,0.0,0.0,6.0,1,0
Égypte,96442591.0,1250.0,1250.0,110.0,1.0,61.8,1118.0,1510.5,-23.0,0.0,4,2
Émirats arabes unis,9487203.0,412.0,412.0,433.0,94.0,5.4,48.0,0.0,-26.0,0.0,1,0
Équateur,16785361.0,341.0,324.0,0.0,0.0,17.0,340.0,0.0,-1.0,0.0,1,0
Éthiopie,106399924.0,14.0,14.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,4,0
Îles Salomon,636039.0,3.0,3.0,6.0,0.0,0.6,0.0,0.0,3.0,0.0,1,0
